时间,收盘价,代码,成交量,成交笔数,收益率,净价,全价
2017-01-03,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-04,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-05,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-06,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-09,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-10,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-11,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-12,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-13,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-16,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-17,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-18,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-19,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-20,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-23,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-24,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-25,100.5368,130309.IB,0.0,,,100.5368,0
2017-01-26,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-03,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-06,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-07,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-08,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-09,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-10,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-13,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-14,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-15,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-16,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-17,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-20,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-21,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-22,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-23,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-24,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-27,100.5368,130309.IB,0.0,,,100.5368,0
2017-02-28,100.5368,130309.IB,0.0,,,100.5368,0
2017-03-01,100.5368,130309.IB,0.0,,,100.5368,0
2017-03-02,100.5368,130309.IB,0.0,,,100.5368,0
2017-03-03,100.5368,130309.IB,0.0,,,100.5368,0
2017-03-06,100.5368,130309.IB,0.0,,,100.5368,0
2017-03-07,100.5368,130309.IB,0.0,,,100.5368,0
