???,???????,????ID,??????,?????ID,???????,????,???,??,??,,??,,???,????,???,????,????,??,????,????
0,nssrv170387562832813310636,,,,,2/16/2023 0:00,0,,99.26824745,,,,1000,2,2.88639998,220025.IB,T+1,??,20230216,nss_rv
0,nssrv170387562832816210637,,,,,4/3/2023 0:01,0,,99.33042902,6218.15715,35580.11,46.00069444,1000,2,2.88000011,220025.IB,T+1,??,20230403,nss_rv
0,nssrv170387562833141410638,,,,,4/13/2023 0:00,0,,99.6024377, ,, ,1000,2,2.84750009,220025.IB,T+1,??,20230413,nss_rv
0,nssrv170387562833144310639,,,,,4/28/2023 0:01,0,,100.0199911,41755.33677,11602.2,15.00069444,1000,2,2.7974999,220025.IB,T+1,??,20230428,nss_rv
0,nssrv170387562833470510640,,,,,5/11/2023 0:00,0,,100.4991703, ,, ,1000,2,2.74000001,220025.IB,T+1,??,20230511,nss_rv
0,nssrv170387562833473210641,,,,,5/29/2023 0:01,0,,100.351162,-14800.82258,13746.09,18.00069444,1000,2,2.75749993,220025.IB,T+1,??,20230529,nss_rv
0,nssrv170387562833801910642,,,,,8/14/2023 0:00,0,,101.2296221, ,, ,1000,2,2.64899993,220025.IB,T+1,??,20230814,nss_rv
0,nssrv170387562833804710643,,,,,8/21/2023 0:01,0,,101.8157216,58609.95145,5326.08,7.000694444,1000,2,2.5775001,220025.IB,T+1,??,20230821,nss_rv
0,nssrv170387562834131210644,,,,,8/24/2023 0:00,0,,101.7524649, ,, ,1000,2,2.58500004,220025.IB,T+1,??,20230824,nss_rv
0,nssrv170387562834134010645,,,,,8/25/2023 0:01,0,,101.6301256,-12233.92607,760.86,1.000694444,1000,2,2.59980011,220025.IB,T+1,??,20230825,nss_rv
0,nssrv170387562834459410646,,,,,9/13/2023 0:00,0,,100.9735952, ,, ,1000,2,2.67930007,220025.IB,T+1,??,20230913,nss_rv
0,nssrv170387562834462210647,,,,,10/26/2023 0:01,0,,100.7574969,-21609.83318,32717.39,43.00069444,1000,2,2.70499992,220025.IB,T+1,??,20231026,nss_rv
0,nssrv170387562834787810648,,,,,11/8/2023 0:00,0,,101.0716177, ,, ,1000,2,2.66549993,220025.IB,T+1,??,20231108,nss_rv
0,nssrv170387562834790610649,,,,,11/10/2023 0:01,0,,101.1152278,4361.008569,1521.73,2.000694444,1000,2,2.66000009,220025.IB,T+1,??,20231110,nss_rv
