Tenors,1P,5P,10P,15P,20P,25P,30P,35P,40P,45P,ATM,45C,40C,35C,30C,25C,20C,15C,10C,5C,1C
ON,,,,4.341561728395061,4.303202160493827,,4.194481111111111,4.128959999999999,4.068198333333333,4.021957777777778,4,4.008957777777778,4.042948333333333,4.092960000000001,4.149981111111111,,4.251118827160494,4.289895061728395,,,
1W,,,,8.641561728395063,8.603202160493828,,8.49448111111111,8.428959999999998,8.368198333333334,8.32195777777778,8.3,8.30895777777778,8.342948333333336,8.39296,8.449981111111112,,8.551118827160494,8.589895061728395,,,
2W,,,,8.399637860082304,8.34767232510288,,8.234018148148149,8.178126666666667,8.13222611111111,8.103717037037036,8.1,8.125717037037038,8.17447611111111,8.237126666666667,8.304518148148148,,8.419200102880659,8.461860082304526,,,
3W,,,,8.099380658436214,8.047350823045267,,7.934805185185185,7.879793333333334,7.834378888888888,7.805476296296296,7.8,7.822476296296296,7.86787888888889,7.928793333333334,7.997805185185187,,8.132073045267491,8.192158436213992,,,
1M,,,,7.34240329218107,7.297379115226337,,7.192015925925926,7.136886666666666,7.089749444444444,7.058241481481481,7.05,7.070241481481482,7.114499444444444,7.175886666666666,7.247515925925925,,7.3952957818930045,7.4657366255144035,,,
2M,,,,6.251946502057613,6.201183127572016,,6.082583703703704,6.020706666666666,5.968037777777778,5.933245925925926,5.925,5.949245925925926,6.0010377777777775,6.072706666666667,6.156583703703704,,6.331738683127572,6.416390946502058,,,
3M,,,,6.092078189300412,6.033847736625514,,5.91634074074074,5.863133333333333,5.821755555555555,5.7985851851851855,5.8,5.830585185185185,5.887755555555556,5.967133333333333,6.06434074074074,,6.294958847736626,6.4209670781893005,,,
6M,,,,5.594617283950618,5.535771604938272,,5.429431111111111,5.388560000000001,5.362473333333334,5.356257777777778,5.375,5.422257777777778,5.495473333333333,5.59056,5.703431111111112,,5.966327160493827,6.109061728395062,,,
9M,,,,5.40688683127572,5.33798353909465,,5.229256296296296,5.195513333333333,5.178142222222222,5.1790140740740735,5.2,5.2430140740740745,5.310142222222223,5.403513333333334,5.5252562962962966,,5.860205761316872,6.064664609053498,,,
1Y,,,,5.254049382716049,5.188811728395062,,5.097428888888889,5.077319999999999,5.074996666666667,5.090782222222223,5.125,5.178782222222223,5.256496666666666,5.36332,5.504428888888889,,5.906867283950617,6.158493827160494,,,
18M,,,,5.31808024691358,5.269475308641975,,5.195204444444444,5.17458,5.167353333333334,5.175251111111111,5.2,5.244251111111112,5.314353333333333,5.41758,5.561204444444445,,5.9944753086419755,6.2730802469135805,,,
2Y,,,,5.426399176954733,5.371748971193416,,5.2897185185185185,5.267933333333334,5.261288888888889,5.27142962962963,5.3,5.349429629629629,5.425288888888889,5.533933333333334,5.681718518518519,,6.11619341563786,6.391954732510288,,,
3Y,,,,9.130246913580248,9.537808641975309,,8.883444444444445,7.912,6.898833333333332,6.157111111111111,6,6.657111111111111,8.023833333333334,9.912,12.133444444444446,,16.857253086419753,19.1858024691358,,,
