Tenors,1P,5P,10P,15P,20P,25P,30P,35P,40P,45P,ATM,45C,40C,35C,30C,25C,20C,15C,10C,5C,1C
ON,0.036901652173913044,0.03649202898550725,,,,,,,,,0.037000000000000005,,,,,,,,,0.037507971014492755,0.03709834782608696
SW,0.05814914551083592,0.0562561919504644,,,,,,,,,0.050949999999999995,,,,,,,,,0.059161145510835914,0.06109006191950464
2W,0.0588589090909091,0.05718383838383839,,,,,,,,,0.052000000000000005,,,,,,,,,0.06197070707070707,0.06421927272727274
3W,0.0499596,0.04968866666666666,,,,,,,,,0.05,,,,,,,,,0.06255228070175439,0.06561010526315789
1M,0.054731234042553194,0.05347290780141844,,,,,,,,,0.0495,,,,,,,,,0.057601028368794334,0.059409851063829795
2M,0.05248176536312849,0.0512898696461825,,,,,,,,,0.04724999999999999,,,,,,,,,0.05638283054003724,0.05841709497206704
3M,0.05224409142857143,0.050837828571428566,,,,,,,,,0.04625,,,,,,,,,0.05554144761904761,0.05760660571428572
6M,0.04958762491252624,0.04875756939584791,,,,,,,,,0.04537,,,,,,,,,0.05629351294611617,0.0585843233030091
9M,0.04979513007187572,0.04874840559548651,,,,,,,,,0.04563,,,,,,,,,0.056723134709019234,0.059237642476234635
1Y,0.050431867039888036,0.049088815022160025,,,,,,,,,0.04537,,,,,,,,,0.058150510846745974,0.06123091952414276
18M,0.0493284058518169,0.04812911436212051,,,,,,,,,0.04488,,,,,,,,,0.06000153846153847,0.06377876923076924
2Y,0.048790195110372664,0.04771010839465148,,,,,,,,,0.04463,,,,,,,,,0.062353941767544906,0.06685309518158083
3Y,0.054480759312320916,0.052138199617956064,,,,,,,,,0.044379999999999996,,,,,,,,,0.06587713944603629,0.07158685100286533
