Tenors,1P,5P,10P,15P,20P,25P,30P,35P,40P,45P,ATM,45C,40C,35C,30C,25C,20C,15C,10C,5C,1C
1W,0.0005667375965665236,0.0005560542203147354,,,,,,,,,0.0005195,,,,,,,,,0.0006231043675839434,0.0006478278616510983
2W,0.0005831785599025727,0.0005715436443903182,,,,,,,,,0.0005293,,,,,,,,,0.0006456376465215406,0.0006737477637387731
3W,0.000557417358490566,0.0005469207547169811,,,,,,,,,0.0005124999999999999,,,,,,,,,0.0006316893081761006,0.0006616807547169811
1M,0.0005292649492197177,0.0005175027495665098,,,,,,,,,0.00048150000000000005,,,,,,,,,0.0005817689125588309,0.0006045440426058955
2M,0.0005108000000000001,0.0005006666666666667,,,,,,,,,0.000469,,,,,,,,,0.0005767449532250123,0.0006021409158050222
3M,0.0004935127303116705,0.00048684040572870583,,,,,,,,,0.00046580000000000005,,,,,,,,,0.0005669416707632812,0.0005900950073739062
4M,0.0005022288709518653,0.0004944382616399253,,,,,,,,,0.0004682,,,,,,,,,0.0005757381271122486,0.0006013686288020475
5M,0.0005134943469056177,0.0005035857482808986,,,,,,,,,0.0004689,,,,,,,,,0.0005966535949321386,0.0006289364708778494
6M,0.0005132234673094898,0.0005033908151719388,,,,,,,,,0.00046730000000000003,,,,,,,,,0.0006006230432429773,0.0006344014778373591
9M,0.0005173832429233653,0.0005078351349574252,,,,,,,,,0.00047220000000000004,,,,,,,,,0.0006146345859223461,0.0006514622546602229
1Y,0.0005190933267424616,0.0005104296259680342,,,,,,,,,0.00047699999999999994,,,,,,,,,0.0006269542923051573,0.0006657977261492832
18M,0.0005012029419035847,0.0004968905232797693,,,,,,,,,0.0004775,,,,,,,,,0.0006269162340337865,0.0006656492212608159
2Y,0.0005012477204247963,0.0004964709557915535,,,,,,,,,0.0004755,,,,,,,,,0.0006262361323783651,0.000665225038281057
3Y,0.0004921433578792342,0.0004867018654884634,,,,,,,,,0.00046300000000000003,,,,,,,,,0.000611525675012273,0.0006490662150220913
