Tenors,1P,5P,10P,15P,20P,25P,30P,35P,40P,45P,ATM,45C,40C,35C,30C,25C,20C,15C,10C,5C,1C
1W,,5.508335022742038,,5.356165821962312,,,,5.177837556855101,,,5.195,,,5.419232618583496,,,,5.820553476283299,,6.023893047433397,
2W,,5.644979857050032,,5.5021767381416495,,,,5.302449642625081,,,5.293,,,5.52991877842755,,,,5.985349577647822,,6.226967511371019,
3W,,5.427202469135802,,5.262232098765431,,,,5.093506172839506,,,5.125,,,5.324827160493827,,,,5.793434567901234,,6.10313086419753,
1M,,5.140732553606236,,4.93413372319688,,,,4.747331384015595,,,4.815,,,5.076405458089669,,,,5.454318908382065,,5.605362183235867,
2M,,4.97288499025341,,4.801890838206627,,,,4.637212475633529,,,4.69,,,4.933138401559455,,,,5.346705653021441,,5.553255360623781,
3M,,4.841553086419753,,4.736056790123457,,,,4.616382716049382,,,4.658,,,4.910617283950618,,,,5.296543209876543,,5.458246913580245,
4M,,4.906465237166992,,4.794767381416503,,,,4.658163092917479,,,4.682,,,4.911187784275504,,,,5.328829109811565,,5.546675113710201,
5M,,4.983944379467185,,4.8486944769330735,,,,4.681860948667966,,,4.689,,,4.891033788174139,,,,5.398726575698505,,5.742213515269654,
6M,,4.973103313840154,,4.854448343079921,,,,4.68375828460039,,,4.673,,,4.8786101364522425,,,,5.411077972709551,,5.772844054580895,
9M,,5.016333203378816,,4.906166731643924,,,,4.739833008447044,,,4.722,,,4.913956465237168,,,,5.487075373619232,,5.907182586094866,
1Y,,5.040990643274854,,4.95267134502924,,,,4.795976608187134,,,4.77,,,4.969198830409357,,,,5.573626900584795,,6.01807953216374,
18M,,4.918611695906431,,4.905527485380116,,,,4.809029239766081,,,4.775,,,4.971584795321638,,,,5.575016374269005,,6.018633918128654,
2Y,,4.912437037037036,,4.892281481481481,,,,4.788592592592593,,,4.755,,,4.956407407407408,,,,5.564718518518518,,6.008562962962961,
3Y,,4.8087118908382065,,4.783644054580896,,,,4.665779727095516,,,4.63,,,4.85948343079922,,,,5.4553033138401545,,5.853393372319687,
