tte,v0,beta,alpha,rho,fwd
0.019178,0.075706,0.696877,2.959999,0.184418,1.17858
0.038356,0.074333,0.689755,2.307501,0.194748,1.17858
0.082192,0.074778,0.676141,1.764974,0.176956,1.17858
0.167123,0.074513,0.660373,1.320508,0.176008,1.17858
0.249315,0.078881,0.65671,1.120733,0.167925,1.17858
0.49589,0.075131,0.645062,0.93738,0.149967,1.17858
0.747945,0.074507,0.637409,0.838919,0.134559,1.17858
1,0.074357,0.630928,0.751305,0.129113,1.17858
1.49589,0.076807,0.619773,0.602385,0.107049,1.17858
2,0.077804,0.613305,0.528082,0.095991,1.17858
